talk_id,youtube_id,status,auto_path,human_path
2022-06-03-part-ii-of-his-remarkable-twenty-year-journey-into-the-world-of-psychedelics-edge-of-mind-podcast-part-2,-vebDk9FRYU,downloaded:auto,sources/captions/2022-06-03-part-ii-of-his-remarkable-twenty-year-journey-into-the-world-of-psychedelics-edge-of-mind-podcast-part-2.vtt,
2022-08-30-psychedelics-and-cosmological-exploration-with-chris-bache-reach-truth-podcast,FEQ8ony19sk,downloaded:auto,sources/captions/2022-08-30-psychedelics-and-cosmological-exploration-with-chris-bache-reach-truth-podcast.vtt,
2022-12-07-lsd-and-the-mind-of-the-universe-smn-webinar,hr0nxquWvgQ,downloaded:auto,sources/captions/2022-12-07-lsd-and-the-mind-of-the-universe-smn-webinar.vtt,
2023-01-05-exploring-lsd-and-the-mind-of-the-universe,cvhWP8xzwiY,downloaded:auto,sources/captions/2023-01-05-exploring-lsd-and-the-mind-of-the-universe.vtt,
2023-01-06-lsd-and-the-mind-of-the-universe-s2s-podcast,Kh5aqAuDBIM,downloaded:auto,sources/captions/2023-01-06-lsd-and-the-mind-of-the-universe-s2s-podcast.vtt,
2023-01-27-the-mind-of-the-universe-diamonds-from-heaven,ec0elBHJXAc,downloaded:auto,sources/captions/2023-01-27-the-mind-of-the-universe-diamonds-from-heaven.vtt,
2023-01-30-wisdom-keepers-conversation-with-duane-elgin,TeifW7GZ9xI,downloaded:auto,sources/captions/2023-01-30-wisdom-keepers-conversation-with-duane-elgin.vtt,
2023-02-01-children-who-remember-past-lives-chris-bache,9eluKiIL18I,downloaded:auto,sources/captions/2023-02-01-children-who-remember-past-lives-chris-bache.vtt,
2023-03-16-what-does-it-mean-to-be-a-good-person-psychedelically-chris-bache-phd,83VOl7ylChQ,downloaded:auto,sources/captions/2023-03-16-what-does-it-mean-to-be-a-good-person-psychedelically-chris-bache-phd.vtt,
2023-03-16-collective-shadow-work-and-turning-toward-our-pain,KAGPLyC2WZQ,downloaded:auto,sources/captions/2023-03-16-collective-shadow-work-and-turning-toward-our-pain.vtt,
2023-04-18-prof-chris-bache-cycles-of-death-and-rebirth,bQw4ypKrJb8,downloaded:auto,sources/captions/2023-04-18-prof-chris-bache-cycles-of-death-and-rebirth.vtt,
2023-06-30-learning-to-be-gods,,skipped:no_youtube,,
2023-07-12-diamonds-from-heaven-exploring-the-mind-of-the-universe,mG1uyBw0ucg,downloaded:auto,sources/captions/2023-07-12-diamonds-from-heaven-exploring-the-mind-of-the-universe.vtt,
2023-08-17-lsd-and-the-mind-of-the-universe-what-is-going-om,2Trb-vC8zc0,downloaded:auto,sources/captions/2023-08-17-lsd-and-the-mind-of-the-universe-what-is-going-om.vtt,
2023-10-10-experience-of-the-human-being-of-the-future-short,3tVAlUzqz7M,downloaded:auto,sources/captions/2023-10-10-experience-of-the-human-being-of-the-future-short.vtt,
2023-10-29-ego-to-oneness-confronting-the-climate-crisis-ep-278,pYw8ZqCqx18,downloaded:auto,sources/captions/2023-10-29-ego-to-oneness-confronting-the-climate-crisis-ep-278.vtt,
2023-11-05-diamonds-from-heaven-the-mind-of-the-universe-chris-bache,pvZDcQfGzpM,downloaded:auto,sources/captions/2023-11-05-diamonds-from-heaven-the-mind-of-the-universe-chris-bache.vtt,
2023-11-06-73-trips-inside-the-psychedelic-universe,S4XSaHn54P4,downloaded:auto+human,sources/captions/2023-11-06-73-trips-inside-the-psychedelic-universe.vtt,sources/captions/2023-11-06-73-trips-inside-the-psychedelic-universe-human.vtt
2023-12-05-what-73-high-dose-lsd-sessions-taught-christopher-bache,AyMBQMGaIeA,downloaded:auto,sources/captions/2023-12-05-what-73-high-dose-lsd-sessions-taught-christopher-bache.vtt,
2024-02-10-lsd-and-the-mind-of-the-universe-diamonds-from-heaven-sdi-meeting,Ucgt6vNpCDI,downloaded:auto,sources/captions/2024-02-10-lsd-and-the-mind-of-the-universe-diamonds-from-heaven-sdi-meeting.vtt,
2024-06-30-lsd-and-the-mind-of-the-universe-full-interview-in-reality,wp5V5_Y5rJ8,downloaded:auto,sources/captions/2024-06-30-lsd-and-the-mind-of-the-universe-full-interview-in-reality.vtt,
2024-09-24-philosophical-implications-of-non-ordinary-states-live,9jsKPUwwqfQ,downloaded:auto,sources/captions/2024-09-24-philosophical-implications-of-non-ordinary-states-live.vtt,
2024-09-24-what-73-high-dose-lsd-sessions-taught-christopher-bache-phd-about-the-nature-of-reality-rebroadcast,I1n2E46S-4E,downloaded:auto,sources/captions/2024-09-24-what-73-high-dose-lsd-sessions-taught-christopher-bache-phd-about-the-nature-of-reality-rebroadcast.vtt,
2024-11-07-reincarnation-and-the-web-of-life-what-is-going-om,-Tavh3KhQPE,downloaded:auto,sources/captions/2024-11-07-reincarnation-and-the-web-of-life-what-is-going-om.vtt,
2024-11-16-the-evidence-for-reincarnation,iCKq7-de8Xg,downloaded:auto,sources/captions/2024-11-16-the-evidence-for-reincarnation.vtt,
2025-01-08-the-phoenix-always-rises-evolving-into-the-future-human,q-caGhIlKS8,downloaded:auto,sources/captions/2025-01-08-the-phoenix-always-rises-evolving-into-the-future-human.vtt,
2025-03-18-psychedelics-and-the-cosmic-mind,FMgixG6Z0sk,downloaded:auto+human,sources/captions/2025-03-18-psychedelics-and-the-cosmic-mind.vtt,sources/captions/2025-03-18-psychedelics-and-the-cosmic-mind-human.vtt
2025-03-30-lsd-sessions-the-infinite-reality-of-the-divine,-ZTmPkFG1AE,downloaded:auto,sources/captions/2025-03-30-lsd-sessions-the-infinite-reality-of-the-divine.vtt,
2025-04-26-bicycle-day-psychedelic-talk-recorded-2025-04-19,H-edIvbzE8w,downloaded:auto,sources/captions/2025-04-26-bicycle-day-psychedelic-talk-recorded-2025-04-19.vtt,
2025-05-18-diamond-luminosity-live-stream,FlHqinHyt9I,downloaded:auto,sources/captions/2025-05-18-diamond-luminosity-live-stream.vtt,
2025-07-16-consciousness-psychedelics-and-collective-evolution,tzscyUU1rXI,downloaded:auto,sources/captions/2025-07-16-consciousness-psychedelics-and-collective-evolution.vtt,
,,skipped:no_talk_id,,
