2019-11-26	LSD and the Mind of the Universe: Diamonds from Heaven
2021-06-03	LSD and the Mind of the Universe – Christopher Bache, Ph.D.
2022-02-16	Dr. Chris Bache on Understanding DMT Entity Encounters
2022-02-17	What It's Like Meeting God on Psychedelics (feat. Christopher Bache)
2022-02-19	The Mind of the Universe – Conversation with Prof. Chris Bache
2022-04-26	When We Die… (IONS “Living Classroom” excerpt)
