path,size,sha256
downloads/audio/2021-03-29-chris-bache-lsd-and-the-mind-of-the-universe-spmc-2019.mp3,45799820,b0805cb34689e56a18eb461c0699629e257c98c3eb2984464b588930bc02596f
downloads/audio/2021-04-01-contemplating-reincarnation-part-1.mp3,34298348,dbab2cecbdb8c911a7ce43d49ef2bebfa52d7dc2c695df6e5e7c483d4c3f20b5
downloads/audio/2021-04-02-reincarnation-qanda-live-with-richard-rudd.mp3,47470292,79b7027317bc389c410da8804df736add219222e37b35c1fb96047526deb6eac
downloads/audio/2021-04-21-global-collapse-spirituality-and-the-birth-of-the-future-human-attmind-142.mp3,54388244,efa656df6fc110d2ff5c8526c6bc548466a7b729741d046b15378c9fc09fea00
downloads/audio/2021-05-03-lsd-and-the-mind-of-the-universe-interview-with-stephen-gray.mp3,36568100,bf13c356be3fb08635c950df06a3fac9838aedcdf41068b0ed7f55999579ea9c
downloads/audio/2021-06-03-lsd-and-the-mind-of-the-universe-christopher-bache-ph-d.mp3,41244356,f1816f6b8e728d46edb6b817348c6ebc20dc45b02e358f0d8d06d9d885031601
downloads/audio/2021-07-08-mind-blowing-lsd-secrets-revealed-rebel-spirit-radio.mp3,45439484,be5036662abcf133e9ab49639531e75d2a9727d2e7c474cbd4370b2bfba1d9cf
downloads/audio/2021-11-16-transformative-journey-into-the-cosmic-mind-through-psychedelics-with.mp3,43261659,1789b22b6deeebe1d26e07ff3a7b6cf907d6aa99cac8ca69e85d583aded80dee
downloads/audio/2022-01-20-evolution-of-collective-consciousness-deep-transformation-podcast-part-1.mp3,79467644,cdbfae20a168ffb7a6afb85d67c5b80a5dbfd0028008f5f1d5c57ddf60073b0f
downloads/audio/2022-02-16-dr-chris-bache-on-understanding-dmt-entity-encounters.mp3,3043700,ddad82e89aea729dbaeae2c1fe3826e44d6c89d0494b5a44c62dffcc243abdd1
downloads/audio/2022-02-17-exploring-lsd-as-a-practice-edge-of-mind-podcast-part-1.mp3,75490244,fd01d30c75c026ecf185078dd9e03d6ec0af9954f889bd8a0f4178accc3c0cda
downloads/audio/2022-02-17-what-it-s-like-meeting-god-on-psychedelics-feat-christopher-bache.mp3,1990964,17c915b1bf7580cf91c237756514ec94cb5309a86904a9a280872f383e492118
downloads/audio/2022-02-19-the-mind-of-the-universe-conversation-with-prof-chris-bache.mp3,39280916,7a080c4802aeb2303aff00c6ed13024e076060d37a761e0cf0a72b51d0a326ec
downloads/audio/2022-04-26-when-we-die-ions-living-classroom-excerpt.mp3,800060,d6e988fde31c5b701bed91c86b0609d2706b2885d87b37189a6dc2987a150527
downloads/audio/2022-06-03-part-ii-of-his-remarkable-twenty-year-journey-into-the-world-of-psychedelics-edge-of-mind-podcast-part-2.mp3,66009092,49aeca5196c87a269ae3f0647b0780bf1dd80fb6c4fce77cb327a886164fc085
downloads/audio/2022-08-21-chris-bache-lsd-and-the-mind-of-the-universe.mp3,74402291,2c25f55f8f3a78768348bab8463adb42107d890d72ba6504bdfc0626a38e2d27
downloads/audio/2022-08-30-psychedelics-and-cosmological-exploration-with-chris-bache-reach-truth-podcast.mp3,61710500,d4016c8d6522f47bf76a05a0a0f3d126ed553aa89b9c4e672ac8e71685ad508f
downloads/audio/2022-12-07-lsd-and-the-mind-of-the-universe-smn-webinar.mp3,44193308,16244a2d19259d414ef4e2782623f0b0c1cbc6cad5e84db27932c38af7148ebb
downloads/audio/2023-01-05-exploring-lsd-and-the-mind-of-the-universe.mp3,76873460,5f35feedf4fa72ef04e52072c8ed887a240ac59327ae61ac0df2cd20467e1187
downloads/audio/2023-01-06-lsd-and-the-mind-of-the-universe-s2s-podcast.mp3,75846908,f713362987bd2fd7b8c7a3447e7f2b133393a4fd5d07b6991459dba55cc672ec
downloads/audio/2023-01-27-the-mind-of-the-universe-diamonds-from-heaven.mp3,57664988,2834d963f1661c38a0a713a3124d979baf12d1316fbb135fa79ffd9055b345ba
downloads/audio/2023-01-30-wisdom-keepers-conversation-with-duane-elgin.mp3,80764556,642a8365c2fe4f06c64cb2d82fd6be6b9418f3ce50134e02fbcde519d54ab4e5
downloads/audio/2023-02-01-children-who-remember-past-lives-chris-bache.mp3,455564,4af755b17ab948ad5f4974238eee9998ac4d60f340a944e8fb3556acbe9ab218
downloads/audio/2023-03-15-the-role-of-psychedelics-for-a-planet-in-transition-with-belinda-eriacho.mp3,60212568,3719572b2a6b4fa50ece0eb97aa5f4b3b06c5e5dab65c685f88c99c9f104b19f
downloads/audio/2023-03-16-collective-shadow-work-and-turning-toward-our-pain.mp3,4781564,266b50654909e96f0462dbf51eee28c4528d4b9495403416e72ecf02a6b81b26
downloads/audio/2023-03-16-what-does-it-mean-to-be-a-good-person-psychedelically-chris-bache-phd.mp3,5723780,f874e9bc283b3c4aa29922f5d43348443919d6d66e81c4f7cb769bbb43f15daf
downloads/audio/2023-04-18-prof-chris-bache-cycles-of-death-and-rebirth.mp3,1228196,38f6ac58e07d48db790bcb4fcc59c1b16c1324364a04c6c94d9d8aacbdb2b94f
downloads/audio/2023-06-30-learning-to-be-gods.mp3,79920033,128e5dcc81208dd0fe2516230e401ff153af639cea4435fc3d1a320c6920ae85
downloads/audio/2023-07-12-diamonds-from-heaven-exploring-the-mind-of-the-universe.mp3,10271900,377f5092da77092b5553b48924f02069f41194ff14f19a19054bddc18da58a33
downloads/audio/2023-08-17-lsd-and-the-mind-of-the-universe-what-is-going-om.mp3,34680884,88aa0b79f227b747f121860baa75fba269eeca24ec89c360ff313602fcb7b001
downloads/audio/2023-08-17-lsd-the-mind-of-the-universe-with.mp3,56697580,f17167821d5354e46259ea717a5158c62f0c7a448ff86a7fb180453053302246
downloads/audio/2023-10-10-experience-of-the-human-being-of-the-future-short.mp3,462308,38f290ec24339010e1cef459aa268603aef5530c6052f3b447327bf8901c14c6
downloads/audio/2023-10-29-ego-to-oneness-confronting-the-climate-crisis-ep-278.mp3,36910940,421de71e5cbd99b0d393d2194e2fcaa8b1217d81d25941f2ac4115dba529a1de
downloads/audio/2023-11-05-diamonds-from-heaven-the-mind-of-the-universe-chris-bache.mp3,25907276,1c4d02858ed1aaa438a55742f0b446c856ef371f2105028e26212c00b25c7875
downloads/audio/2023-11-06-73-trips-inside-the-psychedelic-universe.mp3,27283364,4a5c2495117aaa984f2b85b125d8681439ebfd28d83ebd23dd8a0bdff43941f1
downloads/audio/2023-12-05-what-73-high-dose-lsd-sessions-taught-christopher-bache.mp3,53717708,e86bd3aae48a86006c30ec3dbd20738b8f22ed2d737fec801a60e9156ee9c0e1
downloads/audio/2024-02-08-face-to-face-with-chris-bache.mp3,54859891,d4c2150aaefa2835947d0f6f44df62aec0a2e81be8fcf4815d528a48e859a488
downloads/audio/2024-02-10-lsd-and-the-mind-of-the-universe-diamonds-from-heaven-sdi-meeting.mp3,50334452,e5d2857164b674460c058c8333b457cc75bd2ac8dccf5622b7c12371426e3ec6
downloads/audio/2024-06-30-lsd-and-the-mind-of-the-universe-full-interview-in-reality.mp3,12491852,6137e3357c8f6694f9489a6aec7f1c510c35153a11e50e0be4204dbc755b1016
downloads/audio/2024-09-24-philosophical-implications-of-non-ordinary-states-live.mp3,41202308,24b1fa800ccb553456e83e8339af6ad7df78d83b7265ac41d97640815acdf916
downloads/audio/2024-09-24-what-73-high-dose-lsd-sessions-taught-christopher-bache-phd-about-the-nature-of-reality-rebroadcast.mp3,53717804,7ef42a9b1de678d23dc1c42b924f504fb58adb93e7c28486431c6abbe2dd1972
downloads/audio/2024-11-07-reincarnation-and-the-web-of-life-what-is-going-om.mp3,35719580,5a44baf13efa75735990cd00ffda7e5b18184a36eac09bc20e5b3f4354528008
downloads/audio/2024-11-16-the-evidence-for-reincarnation.mp3,39082292,7a8aa8d749ca0ca7138adbfebd5af01fa3d729d6f7187d8cae27eee05e6808ef
downloads/audio/2025-01-08-the-phoenix-always-rises-evolving-into-the-future-human.mp3,37962428,a1b83d7eb3f741a3b55a52007584662c277a38f3663e004bb424d08b652746c3
downloads/audio/2025-03-18-psychedelics-and-the-cosmic-mind.mp3,59923796,4da2065306bc6a204ed475eeea0580958f561ed00682a61f367482d7ca403344
downloads/audio/2025-03-30-lsd-sessions-the-infinite-reality-of-the-divine.mp3,1062692,188c6fe61f8ea9eb973f9006393937e26cd6264f5f2dde2f39e6071d3a0d93b7
downloads/audio/2025-04-26-bicycle-day-psychedelic-talk-recorded-2025-04-19.mp3,25962692,91503e513e6be7f7e33fb794b7e0b264f2f4c354c34626c35ae599d8d80faf37
