score,video_id,published_at,duration_sec,title,channel_title,url,flags
5,-ld7Lh5wkxc,2013-11-18T03:32:52Z,5221,11/17/13 Sunday Service with Guest Speaker Chris Bache and Musician Lilly Russ from Agape in L.A.,Unity Myrtle Beach ,https://www.youtube.com/watch?v=-ld7Lh5wkxc,chris_name_title;interview_hint;has_any_name_anywhere
4,NtcLJ3_Ceyc,2013-11-17T23:38:30Z,6534,"2013 11 16, Dr. Chris Bache, Guest Speaker, ""No Fear of Death"", Part 3/ 3",Unity Myrtle Beach ,https://www.youtube.com/watch?v=NtcLJ3_Ceyc,chris_name_title;has_any_name_anywhere
4,bMbnDjnR4Ls,2013-11-17T10:10:09Z,3532,"2013 11 16, Dr. Chris Bache, Guest Speaker, ""No Fear of Death"", Part 2/3",Unity Myrtle Beach ,https://www.youtube.com/watch?v=bMbnDjnR4Ls,chris_name_title;has_any_name_anywhere
4,PmcpJpCtA_U,2013-11-17T05:25:34Z,4569,"2013 11 16, Dr. Chris Bache, Guest Speaker, ""No Fear of Death"", Part 1/3",Unity Myrtle Beach ,https://www.youtube.com/watch?v=PmcpJpCtA_U,chris_name_title;has_any_name_anywhere
4,oC93fpPY_tA,2013-08-28T16:20:45Z,4493,Christopher Bache at SkyBlue Symposia   Pt 2 of 2,SkyBlue Symposia,https://www.youtube.com/watch?v=oC93fpPY_tA,any_name_desc;interview_hint;has_any_name_anywhere
4,SLLuixvjySA,2013-08-27T14:00:39Z,3349,Christopher Bache at SkyBlue Symposia - Pt 1 of 2,SkyBlue Symposia,https://www.youtube.com/watch?v=SLLuixvjySA,any_name_desc;interview_hint;has_any_name_anywhere
3,RlxqPI3RYTc,2009-03-07T12:00:19Z,613,Dr. Christopher Bache - The Individual and Matrix Consciousness Pt 2/2,Nasty Infinity,https://www.youtube.com/watch?v=RlxqPI3RYTc,any_name_desc;has_any_name_anywhere
